word,num
feet,604
wished,605
confidence,606
natural,607
Bennet,608
stand,609
week,610
instant,611
reply,612
Doctor,613
prefer,614
show,615
death,616
Bumble,617
John,618
opened,619
clock,620
appear,621
consider,622
Charles,623
afraid,624
tried,625
corner,626
talked,627
Lorry,628
suddenly,629
seems,630
human,631
Your,632
arms,633
tone,634
affection,635
degree,636
engaged,637
boat,638
Bath,639
creature,640
followed,641
Come,642
happened,643
effect,644
visit,645
year,646
living,647
wonder,648
master,649
expression,650
speaking,651
boys,652
remember,653
stranger,654
sudden,655
Wentworth,656
former,657
neither,658
giving,659
cause,660
real,661
Isabel,662
mere,663
especially,664
supposed,665
board,666
except,667
hundred,668
book,669
Spirit,670
sake,671
silence,672
carriage,673
whatever,674
during,675
Weston,676
agreeable,677
need,678
it.,679
Isabella,680
met,681
pleasant,682
spirit,683
struck,684
hair,685
exactly,686
THE,687
story,688
Dashwood,689
deep,690
likely,691
countenance,692
paper,693
considered,694
situation,695
By,696
afternoon,697
sweet,698
instead,699
surprise,700
gentlemen,701
respect,702
greater,703
knowledge,704
kindness,705
ill,706
fear,707
calling,708
scarcely,709
smile,710
meant,711
ago,712
led,713
chance,714
thousand,715
Some,716
expected,717
fortune,718
order,719
determined,720
figure,721
silent,722
married,723
Who,724
early,725
age,726
regard,727
beginning,728
wind,729
husband,730
These,731
several,732
sent,733
o,734
Edward,735
Knightley,736
pleased,737
mouth,738
street,739
forth,740
Edmund,741
secret,742
looks,743
necessary,744
uncle,745
thy,746
peculiar,747
remain,748
handsome,749
heavy,750
fair,751
run,752
Pip,753
deck,754
honour,755
walking,756
Micawber,757
Henry,758
knows,759
getting,760
floor,761
knowing,762
following,763
Such,764
settled,765
form,766
meet,767
Of,768
warm,769
sitting,770
conduct,771
sit,772
notice,773
Colonel,774
servant,775
red,776
distance,777
Mary,778
nephew,779
vain,780
slowly,781
six,782
cousin,783
fixed,784
sisters,785
carried,786
resolved,787
meaning,788
spoken,789
wrong,790
Peggotty,791
weather,792
yes,793
trouble,794
sleep,795
directly,796
worse,797
dance,798
hat,799
fond,800
manners,801
duty,802
passing,803
repeated,804
caught,805
leaving,806
otherwise,807
plain,808
Yet,809
Lord,810
lived,811
pale,812
hearing,813
anybody,814
nobody,815
expect,816
perfect,817
serious,818
please,819
earth,820
sun,821
become,822
talking,823
act,824
glass,825
period,826
Woodhouse,827
